涨停日期,股票代码,买入价,卖出价,盈亏,买入日期开盘涨跌幅,买入日期收盘涨跌幅,卖出日期开盘涨跌幅,卖出日期收盘涨跌幅,盈亏比例
2025-01-02,300615,15.22,17.81,2.589999999999998,10.771470160116452,20.087336244541483,3.0303030303030303,7.939393939393932,17.01708278580813
2025-01-02,300947,18.55,17.92,-0.629999999999999,-2.5735294117646976,-6.775210084033609,-2.1971830985915526,0.957746478873249,-3.396226415094334
2025-01-02,300959,52.87,49.05,-3.8200000000000003,0.3987846562856074,-7.424990505127226,-0.7794871794871847,0.6153846153846095,-7.225269529033479
2025-01-03,301568,39.99,42.32,2.3299999999999983,0.5784708249497083,3.923541247484915,-7.212003872216837,2.420135527589545,5.826456614153534
2025-01-06,300158,4.97,4.93,-0.040000000000000036,-0.40080160320642205,-2.404809619238479,0.0,1.2320328542094374,-0.8048289738430591
2025-01-06,300434,9.96,10.22,0.2599999999999998,6.070287539936105,6.815761448349295,0.29910269192423866,1.8943170488534524,2.610441767068271
2025-01-06,301157,50.8,70.05,19.25,4.569781803211196,20.09057225195555,11.073020226259844,20.07199177236886,37.89370078740158
2025-01-07,300570,92.15,95.54,3.3900000000000006,0.4031379385487084,7.692307692307694,0.8397409955483593,-3.338729259409143,3.678784590341835
2025-01-07,300807,43.64,44.36,0.7199999999999989,19.989001924663192,19.989001924663192,10.44912923923007,1.649862511457376,1.649862511457376
2025-01-07,300943,14.76,13.34,-1.42,7.894736842105264,2.704678362573107,-1.4946619217081911,-5.053380782918155,-9.620596205962059
2025-01-07,301082,15.53,15.46,-0.06999999999999851,5.934515688949517,8.458390177353344,0.12578616352200991,-2.767295597484274,-0.4507405022536929
2025-01-07,301486,48.93,50.12,1.1899999999999977,0.0,1.9006744328632734,-0.9025270758122801,0.5214600882470879,2.43204577968526
2025-01-07,301600,132.55,133.59,1.039999999999992,-4.178413937685246,-8.400202414516025,2.5491279299187153,5.429721411096212,0.7846095812900732
2025-01-07,301606,40.4,41.93,1.5300000000000011,1.994445847008329,17.142135824286793,-2.6724137931034524,-9.63362068965517,3.7871287128712896
2025-01-08,300715,10.99,9.5,-1.4900000000000002,12.833675564681723,20.020533880903482,-9.751924721984592,-18.73396065012831,-13.557779799818018
2025-01-08,301001,37.02,39.85,2.8299999999999983,1.5080888401425947,20.208390457910625,-1.505474452554753,-9.101277372262778,7.644516477579681
2025-01-08,301187,28.89,26.46,-2.4299999999999997,-5.711488250652741,-1.2728459530026128,-4.49586776859504,-12.528925619834707,-8.411214953271026
2025-01-09,300822,24.37,22.99,-1.3800000000000026,3.3502968617472555,7.972858354537755,-8.483896307934016,-9.701492537313442,-5.662700041034069
2025-01-09,301000,28.8,29.11,0.3099999999999987,2.055279943302629,12.57973068745571,-6.043437204910287,-8.372678627636136,1.0763888888888844
2025-01-09,301176,19.3,17.46,-1.8399999999999999,0.8359456635318712,-5.956112852664579,-6.50000000000001,-2.9999999999999956,-9.533678756476682
2025-01-09,301366,37.57,31.0,-6.57,8.084004602991952,-5.92635212888376,-4.06727828746178,-5.198776758409794,-17.487356933723717
2025-01-09,301377,25.48,21.04,-4.440000000000001,6.0782681099084135,-7.2439633638634415,-4.398563734290845,-5.56552962298026,-17.425431711146004
2025-01-09,301628,86.49,91.13,4.640000000000001,4.02934808756314,6.001924464758233,-6.240780664926813,3.4040621808691705,5.364782055728988
2025-01-10,301511,15.0,16.24,1.2399999999999984,2.9512697323266965,9.059711736444752,0.5663939584644421,2.202643171806154,8.266666666666657
2025-01-13,300307,8.77,8.48,-0.28999999999999915,3.541912632821711,15.466351829988179,-20.245398773006134,-13.292433537832302,-3.3067274800456006
2025-01-14,300007,27.96,27.69,-0.2699999999999996,5.191873589164795,6.696764484574873,1.5514809590973246,-2.362482369534549,-0.9656652360515007
2025-01-14,300058,7.14,6.99,-0.14999999999999947,2.8818443804034475,4.322766570605185,-2.4861878453038755,-3.4530386740331496,-2.1008403361344463
2025-01-14,300071,6.1,6.1,0.0,18.21705426356588,19.961240310077525,-0.6462035541195482,-1.4539579967689942,0.0
2025-01-14,300085,41.49,44.99,3.5,-0.5274514504914861,3.883960680891866,1.5693514885760436,3.83106392799447,8.435767654856592
2025-01-14,300380,52.95,54.95,2.0,2.5765207283998555,1.4529252227818674,1.9667748711094162,4.9264846286041735,3.777148253068933
2025-01-14,300521,20.25,19.6,-0.6499999999999986,1.25,-2.3499999999999943,0.5120327700972753,0.3584229390681018,-3.20987654320987
2025-01-14,300539,13.03,11.7,-1.33,7.419620774938157,0.4946413849958674,-1.9688269073010682,-4.019688269073013,-10.207214121258636
2025-01-14,300553,23.08,23.49,0.41000000000000014,0.1736111111111074,-1.7795138888888895,0.1325673884224531,3.8002651347768426,1.7764298093587527
2025-01-14,300792,31.23,37.5,6.27,20.069204152249128,20.069204152249128,11.751520973422986,20.076849183477425,20.076849183477425
2025-01-14,300846,13.85,13.13,-0.7199999999999989,5.0834597875569045,1.8209408194233705,1.9374068554396409,-2.160953800298056,-5.1985559566786925
2025-01-14,301399,20.07,18.34,-1.7300000000000004,5.742887249736564,1.4225500526870367,-0.5714285714285685,-4.7272727272727275,-8.619830592924766
2025-01-15,300242,5.31,4.93,-0.3799999999999999,-3.4545454545454617,3.0909090909090895,-4.938271604938276,-13.051146384479722,-7.156308851224104
2025-01-15,300299,6.44,6.83,0.3899999999999997,-4.023845007451558,-1.7883755588673638,-1.972685887708648,3.641881638846741,6.055900621118007
