涨停日期,股票代码,买入价,卖出价,盈亏,买入日期开盘涨跌幅,买入日期收盘涨跌幅,卖出日期开盘涨跌幅,卖出日期收盘涨跌幅,盈亏比例,总数,排名,涨跌幅区间,凯莉公式仓位,胜率,仓位
2025-01-02,300615,15.22,17.81,2.589999999999998,10.771470160116452,20.087336244541483,3.0303030303030303,7.939393939393932,17.01708278580813,6,1,"[10, 11)",-0.16436124474502906,0.35714285714285715,0.0
2025-01-02,300615,15.27,17.86,2.59,10.732414793328502,20.01450326323424,3.021148036253776,7.9154078549848865,16.961362148002618,6,2,"[10, 11)",0.020276760077208578,0.4444444444444444,0.020276760077208578
2025-01-02,300947,18.55,17.92,-0.629999999999999,-2.5735294117646976,-6.775210084033609,-2.1971830985915526,0.957746478873249,-3.396226415094334,6,5,"[-3, -2)",-0.9138997831143835,0.4,0.0
2025-01-02,300947,18.55,17.92,-0.629999999999999,-2.5735294117646976,-6.775210084033609,-2.1971830985915526,0.957746478873249,-3.396226415094334,6,5,"[-3, -2)",-0.9138997831143835,0.4,0.0
2025-01-02,300959,52.87,49.05,-3.82,0.3987846562856074,-7.424990505127226,-0.7794871794871847,0.6153846153846095,-7.225269529033479,6,3,"[0, 1)",0.09876742766761237,0.5769230769230769,0.09876742766761237
2025-01-02,300959,53.2,49.38,-3.82,0.3963011889035683,-7.378750707680701,-0.7742461287693468,0.6112469437652899,-7.180451127819549,6,4,"[0, 1)",-0.2553042692687791,0.3333333333333333,0.0
2025-01-03,301568,39.99,42.32,2.3299999999999983,0.5784708249497083,3.923541247484915,-7.212003872216837,2.420135527589545,5.826456614153534,2,1,"[0, 1)",0.15557886526197562,0.6153846153846154,0.15557886526197562
2025-01-03,301568,40.55,42.88,2.3300000000000054,0.5704365079365001,3.869047619047625,-7.1155682903534,2.387774594078319,5.745992601726278,2,2,"[0, 1)",-0.03157277517182011,0.5333333333333333,0.0
2025-01-06,300158,4.97,4.93,-0.04,-0.400801603206422,-2.404809619238479,0.0,1.2320328542094374,-0.8048289738430591,6,5,"[-1, 0)",0.014113048597094335,0.4074074074074074,0.014113048597094335
2025-01-06,300158,4.97,4.93,-0.04,-0.400801603206422,-2.404809619238479,0.0,1.2320328542094374,-0.8048289738430591,6,5,"[-1, 0)",0.014113048597094335,0.4074074074074074,0.014113048597094335
2025-01-06,300434,9.96,10.22,0.2599999999999998,6.070287539936105,6.815761448349295,0.2991026919242386,1.8943170488534524,2.610441767068271,6,1,"[6, 7)",0.16967613986589533,0.391304347826087,0.16967613986589533
2025-01-06,300434,10.03,10.29,0.2599999999999998,6.025369978858334,6.76532769556024,0.2970297029703083,1.881188118811876,2.592223330009968,6,2,"[6, 7)",0.2971761987216696,0.6,0.2971761987216696
2025-01-06,301157,50.8,70.05,19.25,4.569781803211196,20.09057225195555,11.073020226259844,20.07199177236886,37.89370078740158,6,3,"[4, 5)",-0.0526535070543826,0.45714285714285713,0.0
2025-01-06,301157,51.0,70.25,19.25,4.5510455104551015,20.008200082000812,11.035189613939188,20.00341646737274,37.74509803921568,6,4,"[4, 5)",0.07819987378231963,0.38461538461538464,0.07819987378231963
2025-01-07,300570,92.15,95.54,3.390000000000001,0.4031379385487084,7.692307692307694,0.8397409955483593,-3.338729259409143,3.678784590341835,14,9,"[0, 1)",0.21273170625074034,0.42857142857142855,0.21273170625074034
2025-01-07,300570,92.95,96.34,3.390000000000001,0.3996543529920118,7.625837113847486,0.8329987956643902,-3.3119229225210733,3.6471221086605703,14,10,"[0, 1)",0.6005713443968898,0.6666666666666666,0.6005713443968898
2025-01-07,300807,43.64,44.36,0.7199999999999989,19.989001924663192,19.989001924663192,10.44912923923007,1.649862511457376,1.649862511457376,14,1,"[19, 20)",0.24706932531837222,0.7,0.24706932531837222
2025-01-07,300807,43.64,44.36,0.7199999999999989,19.989001924663192,19.989001924663192,10.44912923923007,1.649862511457376,1.649862511457376,14,1,"[19, 20)",0.24706932531837222,0.7,0.24706932531837222
2025-01-07,300943,14.76,13.34,-1.42,7.894736842105264,2.704678362573107,-1.4946619217081911,-5.053380782918155,-9.62059620596206,14,3,"[7, 8)",0.019089525033157362,0.4117647058823529,0.019089525033157362
2025-01-07,300943,14.88,13.46,-1.42,7.82608695652174,2.681159420289849,-1.4820042342978057,-5.010585744530692,-9.54301075268817,14,4,"[7, 8)",-0.38808095638707235,0.3333333333333333,0.0
2025-01-07,301082,15.53,15.46,-0.0699999999999985,5.934515688949517,8.458390177353344,0.1257861635220099,-2.767295597484274,-0.4507405022536929,14,5,"[5, 6)",-0.19301723552690525,0.2727272727272727,0.0
2025-01-07,301082,15.63,15.56,-0.0700000000000002,5.894308943089438,8.40108401084011,0.1249999999999973,-2.749999999999997,-0.4478566858605264,14,6,"[5, 6)",0.13949477524151133,0.3333333333333333,0.13949477524151133
2025-01-07,301486,48.93,50.12,1.1899999999999975,0.0,1.9006744328632732,-0.90252707581228,0.5214600882470879,2.43204577968526,14,11,"[0, 1)",0.024580153353214063,0.5384615384615384,0.024580153353214063
2025-01-07,301486,49.33,50.52,1.1900000000000048,0.0,1.8852625177376845,-0.8953442101074328,0.5173099880620874,2.41232515710522,14,11,"[0, 1)",0.024580153353214063,0.5384615384615384,0.024580153353214063
2025-01-07,301600,132.55,133.59,1.039999999999992,-4.178413937685246,-8.400202414516025,2.5491279299187157,5.429721411096212,0.7846095812900732,14,14,"[-5, -4)",,1.0,0.0
2025-01-07,301600,200.0,201.55,1.5500000000000114,-4.127318920473617,-8.297780547433009,2.5143753267119715,5.3580763199163615,0.7750000000000057,14,13,"[-5, -4)",-4.985069438091193,0.3333333333333333,0.0
