代码,名称,涨跌幅,最新价,换手率,成交额(百万),流通市值(百万),总市值(百万),封板资金(百万),首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
300706,阿石创,19.993,33.43,30.445,1139.039,3796.804,5122.161,39.93,9:32,13:05,5,1/1,1,半导体
300869,康泰医学,20.026,18.82,11.979,551.457,4768.254,7561.932,85.068,9:45,9:45,0,1/1,1,医疗器械
300539,横河精密,19.99,23.71,28.716,1089.856,4078.309,5282.593,17.091,10:00,14:32,3,2/2,2,塑料制品
300781,因赛集团,19.995,44.95,25.641,1323.826,5431.993,7365.282,50.877,10:21,10:41,1,1/1,1,文化传媒
301067,显盈科技,20.013,35.62,27.527,591.658,2273.585,3463.546,45.893,13:32,13:32,0,1/1,1,消费电子
