代码,名称,涨跌幅,最新价,换手率,成交额(百万),流通市值(百万),总市值(百万),封板资金(百万),首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
300878,维康药业,19.988,20.71,8.501,242.958,2984.807,2998.608,35.889,9:35,9:45,1,1/1,1,中药
301132,满坤科技,20.012,39.88,45.587,787.031,1834.764,5905.68,99.793,10:14,10:14,0,1/1,1,电子元件
300644,南京聚隆,20.007,33.59,29.862,831.014,2952.756,3693.874,101.577,10:29,10:29,0,1/1,1,塑料制品
300830,金现代,20.0,11.52,28.499,954.182,3635.391,4955.075,92.679,11:15,11:15,0,1/1,1,软件开发
