代码,名称,涨跌幅,最新价,换手率,成交额(百万),流通市值(百万),总市值(百万),封板资金(百万),首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
300502,新易盛,20.0,157.08,5.935,8097.612,139039.604,156092.736,605.354,9:39,9:39,0,1/1,1,通信设备
300839,博汇股份,19.965,13.82,6.284,197.358,3319.662,3392.556,50.004,9:48,9:48,0,1/1,1,石油行业
300378,鼎捷数智,20.0,46.02,16.452,1886.228,12396.894,12489.498,96.646,13:42,14:09,1,1/1,1,软件开发
