代码,名称,涨跌幅,最新价,换手率,成交额(百万),流通市值(百万),总市值(百万),封板资金(百万),首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
300950,德固特,19.982,26.72,9.613,231.326,2414.814,4074.266,74.131,9:25,9:31,1,1/1,1,专用设备
300195,长荣股份,20.027,9.05,28.684,793.731,2840.908,3834.555,60.081,9:39,9:55,1,1/1,1,专用设备
300006,莱美药业,19.95,4.81,12.859,628.081,5078.499,5078.933,89.809,10:08,10:08,0,1/1,1,化学制药
301388,欣灵电气,19.994,42.13,70.837,759.531,1152.533,4316.117,13.819,10:49,14:03,1,6/3,1,电网设备
