日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-05-22,301105,27.61,27.83,28.35,27.61,3556,9946839.0,2.66,0.0,0.0,2.51
2024-05-23,301105,27.75,27.79,28.39,27.6,4404,12320313.0,2.84,-0.14,-0.04,3.1
2024-05-24,301105,27.9,27.72,28.12,27.01,4769,13193379.0,3.99,-0.25,-0.07,3.36
2024-05-27,301105,27.81,28.18,28.18,27.09,4541,12559536.0,3.93,1.66,0.46,3.2
2024-05-28,301105,28.05,27.34,28.15,27.0,4278,11765215.0,4.08,-2.98,-0.84,3.02
2024-05-29,301105,27.34,28.25,28.25,27.1,4714,13169765.0,4.21,3.33,0.91,3.32
2024-05-30,301105,28.25,27.38,28.3,27.23,4316,11926129.0,3.79,-3.08,-0.87,3.04
2024-05-31,301105,27.38,27.6,27.78,27.3,4606,12670271.0,1.75,0.8,0.22,3.25
2024-06-03,301105,27.6,26.29,27.74,26.0,6956,18562173.0,6.3,-4.75,-1.31,4.9
2024-06-04,301105,26.21,24.96,26.24,24.7,8315,20918218.0,5.86,-5.06,-1.33,5.86
2024-06-05,301105,24.9,24.95,25.6,24.55,6883,17336662.0,4.21,-0.04,-0.01,4.85
2024-06-06,301105,24.95,23.28,25.38,23.11,6795,16248735.0,9.1,-6.69,-1.67,4.79
2024-06-07,301105,23.87,24.79,25.18,23.61,5839,14428282.0,6.74,6.49,1.51,4.12
2024-06-11,301105,24.69,24.25,24.76,23.6,6945,16665988.0,4.68,-2.18,-0.54,4.9
2024-06-12,301105,24.28,25.0,25.1,24.1,4768,11849620.0,4.12,3.09,0.75,3.36
2024-06-13,301105,25.0,25.05,25.38,24.68,3517,8809383.0,2.8,0.2,0.05,2.48
2024-06-14,301105,25.15,25.2,25.3,24.75,4152,10392278.0,2.2,0.6,0.15,2.93
2024-06-17,301105,25.16,24.46,25.16,24.31,4646,11455430.0,3.37,-2.94,-0.74,3.27
2024-06-18,301105,24.59,25.37,25.49,24.42,4623,11612512.0,4.37,3.72,0.91,3.26
2024-06-19,301105,25.37,25.23,25.6,25.1,3492,8849674.0,1.97,-0.55,-0.14,2.46
2024-06-20,301105,25.21,24.45,25.29,24.36,3848,9497799.0,3.69,-3.09,-0.78,2.71
2024-06-21,301105,24.44,24.77,24.9,24.01,4384,10745177.0,3.64,1.31,0.32,3.09
2024-06-24,301105,24.64,26.0,27.8,24.01,16586,42889939.0,15.3,4.97,1.23,11.69
2024-06-25,301105,25.79,25.2,26.97,25.08,19317,50309049.0,7.27,-3.08,-0.8,13.62
2024-06-26,301105,24.84,25.8,25.85,23.96,12116,30078853.0,7.5,2.38,0.6,8.54
2024-06-27,301105,25.45,25.42,26.44,25.39,8990,23252370.0,4.07,-1.47,-0.38,6.34
2024-06-28,301105,25.39,24.99,26.23,24.94,9297,23775079.0,5.07,-1.69,-0.43,6.55
2024-07-01,301105,24.99,24.87,25.75,24.25,7774,19293419.0,6.0,-0.48,-0.12,4.73
2024-07-02,301105,24.78,24.88,25.16,24.7,4427,11029135.0,1.85,0.04,0.01,2.69
2024-07-03,301105,24.99,24.58,25.04,24.35,5110,12640783.0,2.77,-1.21,-0.3,3.11
