日期,开盘,最高,最低,收盘,成交量,成交额,股票代码
2024-07-23,10.15,10.3,9.98,9.99,7862.0,7985152.0,300877
2024-07-24,10.0,10.0,9.69,9.72,11509.0,11261648.0,300877
2024-07-25,9.76,10.11,9.6,9.92,9378.0,9271122.0,300877
2024-07-26,9.92,10.16,9.92,10.15,7274.0,7345384.0,300877
2024-07-29,10.14,10.22,9.95,10.14,7401.0,7477765.0,300877
2024-07-30,10.14,10.33,10.05,10.28,5940.0,6075505.0,300877
2024-07-31,10.32,10.63,10.23,10.58,9915.0,10384256.0,300877
2024-08-01,10.59,10.73,10.5,10.59,7283.0,7742511.0,300877
2024-08-02,10.59,10.67,10.4,10.41,8670.0,9140547.0,300877
2024-08-05,10.38,10.55,10.16,10.18,8523.0,8811214.0,300877
2024-08-06,10.28,10.45,10.28,10.45,9605.0,9972951.0,300877
2024-08-07,10.53,10.53,10.32,10.42,5514.0,5748453.0,300877
2024-08-08,10.43,10.46,10.22,10.41,8624.0,8929129.0,300877
2024-08-09,10.46,10.56,10.35,10.43,10009.0,10482878.0,300877
2024-08-12,10.41,10.5,10.24,10.4,7796.0,8090534.0,300877
2024-08-13,10.37,10.65,10.23,10.62,11331.0,11856354.0,300877
2024-08-14,10.62,10.81,10.46,10.49,15466.0,16392737.0,300877
2024-08-15,10.46,10.7,10.3,10.63,11673.0,12314269.0,300877
2024-08-16,10.64,10.71,10.5,10.53,8549.0,9026093.0,300877
2024-08-19,10.53,10.69,10.42,10.53,8411.0,8879295.0,300877
2024-08-20,10.5,10.58,10.15,10.21,9795.0,10130331.0,300877
2024-08-21,10.25,10.39,10.15,10.21,7983.0,8195831.0,300877
2024-08-22,10.21,10.36,10.04,10.1,12362.0,12607050.0,300877
2024-08-23,10.11,10.11,9.79,9.84,8819.0,8730091.0,300877
2024-08-26,9.88,10.21,9.84,10.18,9443.0,9545499.0,300877
2024-08-27,10.17,10.23,10.05,10.14,7020.0,7118952.0,300877
2024-08-28,10.06,10.49,10.02,10.38,11261.0,11626089.0,300877
2024-08-29,10.29,10.65,10.21,10.65,12559.0,13144686.0,300877
2024-08-30,10.66,10.83,10.55,10.66,13834.0,14841768.0,300877
2024-09-02,10.71,10.92,10.63,10.71,10638.0,11443172.0,300877
2024-09-03,10.7,10.88,10.63,10.8,11603.0,12510992.0,300877
2024-09-04,10.78,10.84,10.65,10.72,8118.0,8708927.0,300877
2024-09-05,10.72,10.88,10.66,10.83,8844.0,9522692.0,300877
2024-09-06,10.84,10.88,10.5,10.55,7043.0,7505852.0,300877
2024-09-09,10.46,10.68,10.32,10.61,7883.0,8307699.5,300877
2024-09-10,10.61,10.73,10.5,10.65,8165.0,8664910.0,300877
2024-09-11,10.7,10.76,10.51,10.59,6106.0,6481439.5,300877
2024-09-12,10.59,10.75,10.5,10.54,6376.0,6776228.0,300877
2024-09-13,10.51,10.55,10.33,10.34,6048.0,6305035.0,300877
2024-09-18,10.32,10.46,9.98,10.2,7887.0,8001031.5,300877
2024-09-19,10.2,10.58,10.1,10.55,7739.0,8068209.0,300877
2024-09-20,10.51,10.69,10.25,10.31,8811.0,9140530.0,300877
2024-09-23,10.31,10.47,10.28,10.33,8434.0,8753515.0,300877
2024-09-24,10.35,10.75,10.32,10.74,12785.0,13500655.0,300877
2024-09-25,10.8,11.08,10.78,10.88,13502.0,14763886.0,300877
2024-09-26,10.85,11.21,10.83,11.17,12694.0,14000914.0,300877
