日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-19,300993,7.96,8.07,8.13,7.89,24353,20064148.0,3.04,2.15,0.17,1.01
2024-09-20,300993,8.07,7.95,8.08,7.9,15470,12635147.0,2.23,-1.49,-0.12,0.64
2024-09-23,300993,7.97,8.57,8.63,7.93,108675,93859413.0,8.81,7.8,0.62,4.5
2024-09-24,300993,8.59,8.79,8.95,8.49,121718,108595321.0,5.37,2.57,0.22,5.04
2024-09-25,300993,8.89,8.75,9.02,8.72,94138,85031828.0,3.41,-0.46,-0.04,3.9
2024-09-26,300993,8.75,8.89,8.96,8.69,61642,55458508.0,3.09,1.6,0.14,2.55
2024-09-27,300993,8.92,9.17,9.44,8.91,97266,90838532.0,5.96,3.15,0.28,4.03
2024-09-30,300993,9.3,10.38,10.6,9.21,179718,180811598.0,15.16,13.2,1.21,7.45
2024-10-08,300993,12.0,11.04,12.1,10.1,233897,261639064.0,19.27,6.36,0.66,9.69
2024-10-09,300993,10.6,9.41,10.6,9.41,130531,132101863.0,10.78,-14.76,-1.63,5.41
2024-10-10,300993,9.65,9.72,9.93,9.57,79058,78724241.0,3.83,3.29,0.31,3.28
2024-10-11,300993,9.73,9.38,9.8,9.21,64004,62301290.0,6.07,-3.5,-0.34,2.65
2024-10-14,300993,9.39,9.67,9.73,9.29,47427,46076553.0,4.69,3.09,0.29,1.97
2024-10-15,300993,9.6,9.55,9.9,9.53,43016,42559639.0,3.83,-1.24,-0.12,1.78
2024-10-16,300993,9.5,9.53,9.66,9.45,27085,26423303.0,2.2,-0.21,-0.02,1.12
2024-10-17,300993,9.58,9.57,9.81,9.55,34561,34167689.0,2.73,0.42,0.04,1.43
2024-10-18,300993,9.54,9.8,9.88,9.38,63799,62992848.0,5.22,2.4,0.23,2.64
2024-10-21,300993,9.85,9.79,9.9,9.67,48874,48386431.0,2.35,-0.1,-0.01,2.03
2024-10-22,300993,9.86,9.9,10.01,9.73,44792,44595070.0,2.86,1.12,0.11,1.86
