日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-02-19,300258,8.94,8.9,9.18,8.76,143349,131518411.0,4.75,0.68,0.06,3.09
2024-02-20,300258,8.84,8.93,8.96,8.66,92599,83838248.0,3.37,0.34,0.03,2.0
2024-02-21,300258,8.8,9.15,9.47,8.77,126201,119531986.0,7.84,2.46,0.22,2.72
2024-02-22,300258,9.12,9.34,9.39,9.05,95399,90933240.0,3.72,2.08,0.19,2.06
2024-02-23,300258,9.33,9.97,10.0,9.23,146347,143988403.0,8.24,6.75,0.63,3.16
2024-02-26,300258,10.68,10.39,11.04,10.35,290751,316248450.0,6.92,4.21,0.42,6.27
2024-02-27,300258,10.43,10.75,10.76,10.28,137490,149195192.0,4.62,3.46,0.36,2.97
2024-02-28,300258,10.72,9.7,10.91,9.68,194964,203915704.0,11.44,-9.77,-1.05,4.2
2024-02-29,300258,9.52,10.01,10.03,9.49,119978,121490665.0,5.57,3.2,0.31,2.59
2024-03-01,300258,9.99,10.09,10.11,9.85,104318,106859434.0,2.6,0.8,0.08,2.25
2024-03-04,300258,10.05,10.02,10.09,9.82,89088,90917417.0,2.68,-0.69,-0.07,1.92
2024-03-05,300258,9.92,9.75,9.99,9.66,96715,96990778.0,3.29,-2.69,-0.27,2.09
2024-03-06,300258,9.71,9.9,10.1,9.54,98209,99005755.0,5.74,1.54,0.15,2.12
2024-03-07,300258,10.2,9.84,10.53,9.81,160673,166896916.0,7.27,-0.61,-0.06,3.46
2024-03-08,300258,9.74,9.78,9.83,9.66,87553,87370940.0,1.73,-0.61,-0.06,1.89
2024-03-11,300258,9.75,9.89,9.9,9.65,86651,86942161.0,2.56,1.12,0.11,1.87
2024-03-12,300258,9.91,10.15,10.21,9.9,115486,119193794.0,3.13,2.63,0.26,2.49
2024-03-13,300258,10.1,10.2,10.28,10.06,98656,102891277.0,2.17,0.49,0.05,2.13
2024-03-14,300258,10.19,10.17,10.43,10.0,110916,116234339.0,4.22,-0.29,-0.03,2.39
2024-03-15,300258,10.15,10.37,10.41,10.06,99180,104285020.0,3.44,1.97,0.2,2.14
2024-03-18,300258,10.49,10.67,10.67,10.43,117863,127550476.0,2.31,2.89,0.3,2.54
2024-03-19,300258,10.74,10.44,10.75,10.43,98149,106093960.0,3.0,-2.16,-0.23,2.12
2024-03-20,300258,10.45,10.55,10.59,10.38,80432,86489432.0,2.01,1.05,0.11,1.73
2024-03-21,300258,10.55,10.58,10.64,10.34,104066,112088552.0,2.84,0.28,0.03,2.24
2024-03-22,300258,10.56,10.34,10.59,10.19,95551,101421568.0,3.78,-2.27,-0.24,2.06
2024-03-25,300258,10.28,9.86,10.37,9.85,93909,97499752.0,5.03,-4.64,-0.48,2.03
2024-03-26,300258,9.86,9.88,10.05,9.68,101383,102754306.0,3.75,0.2,0.02,2.19
2024-03-27,300258,9.87,9.3,9.87,9.3,106033,103995291.0,5.77,-5.87,-0.58,2.29
2024-03-28,300258,9.32,9.63,9.85,9.32,94563,93614993.0,5.7,3.55,0.33,2.04
2024-03-29,300258,9.79,9.85,9.99,9.66,74182,74642223.0,3.43,2.28,0.22,1.6
2024-04-01,300258,9.91,10.28,10.4,9.88,92659,96699683.0,5.28,4.37,0.43,2.0
2024-04-02,300258,10.28,10.16,10.3,9.98,72194,74946482.0,3.11,-1.17,-0.12,1.56
2024-04-03,300258,10.08,9.84,10.13,9.72,72902,73626928.0,4.04,-3.15,-0.32,1.57
2024-04-08,300258,9.85,9.69,9.85,9.65,69452,69358036.0,2.03,-1.52,-0.15,1.5
2024-04-09,300258,9.68,9.8,9.82,9.65,43696,43685029.0,1.75,1.14,0.11,0.94
2024-04-10,300258,9.75,9.55,9.8,9.49,62386,61361349.0,3.16,-2.55,-0.25,1.35
2024-04-11,300258,9.54,9.5,9.68,9.38,60775,59617569.0,3.14,-0.52,-0.05,1.31
2024-04-12,300258,9.53,9.31,9.66,9.3,60403,58626146.0,3.79,-2.0,-0.19,1.3
2024-04-15,300258,9.23,8.94,9.42,8.8,103076,95880169.0,6.66,-3.97,-0.37,2.22
2024-04-16,300258,8.91,8.26,8.95,8.17,150964,130935332.0,8.72,-7.61,-0.68,3.26
2024-04-17,300258,8.4,8.84,8.84,8.4,98291,87800848.0,5.33,7.02,0.58,2.12
2024-04-18,300258,8.84,8.96,9.14,8.7,84954,78147123.0,4.98,1.36,0.12,1.83
2024-04-19,300258,8.98,8.98,9.0,8.81,83568,76467391.0,2.12,0.22,0.02,1.8
2024-04-22,300258,8.83,8.7,8.87,8.54,102468,91812972.0,3.67,-3.12,-0.28,2.21
2024-04-23,300258,8.74,8.94,9.0,8.71,95965,87639979.0,3.33,2.76,0.24,2.07
2024-04-24,300258,9.03,9.5,10.08,8.95,219845,214086034.0,12.64,6.26,0.56,4.74
2024-04-25,300258,9.55,9.9,9.95,9.52,249639,249841457.0,4.53,4.21,0.4,5.38
2024-04-26,300258,9.84,9.82,9.92,9.65,204050,204526055.0,2.73,-0.81,-0.08,4.4
2024-04-29,300258,9.85,10.03,10.12,9.83,171042,175426219.0,2.95,2.14,0.21,3.69
2024-04-30,300258,10.13,9.9,10.13,9.81,128688,131358836.0,3.19,-1.3,-0.13,2.78
2024-05-06,300258,10.05,10.0,10.12,9.99,103129,106239338.0,1.31,1.01,0.1,2.22
2024-05-07,300258,10.04,9.92,10.05,9.85,113012,114885958.0,2.0,-0.8,-0.08,2.44
2024-05-08,300258,9.94,9.74,9.94,9.73,65798,66242536.0,2.12,-1.81,-0.18,1.42
2024-05-09,300258,9.73,9.76,9.89,9.72,79908,80306907.0,1.75,0.21,0.02,1.72
2024-05-10,300258,9.76,9.56,9.8,9.53,81669,80586199.0,2.77,-2.05,-0.2,1.76
2024-05-13,300258,9.52,9.36,9.53,9.25,72641,69825148.0,2.93,-2.09,-0.2,1.57
2024-05-14,300258,9.35,9.54,9.56,9.35,56965,55562172.0,2.24,1.92,0.18,1.23
