date,Open,Close,High,Low,Volume,amount,code,MA5,MA10,MA20,MA60
2025-05-16,3.91,4.0,4.03,3.89,251132.0,99439912.0,300158.SZ,,,,
2025-05-19,4.0,3.97,4.01,3.91,192704.0,76086176.0,300158.SZ,,,,
2025-05-20,3.98,4.16,4.35,3.98,552625.0,228718576.0,300158.SZ,,,,
2025-05-21,4.16,4.14,4.27,4.13,382692.0,160081376.0,300158.SZ,,,,
2025-05-22,4.18,4.23,4.4,4.08,634376.0,270740768.0,300158.SZ,4.1,,,
2025-05-23,4.23,4.27,4.38,4.21,571220.0,245383968.0,300158.SZ,4.154,,,
2025-05-26,4.24,4.1,4.26,4.07,403538.0,166257968.0,300158.SZ,4.180000000000001,,,
2025-05-27,4.1,4.4,4.57,4.1,798950.0,349030656.0,300158.SZ,4.228,,,
2025-05-28,4.3,4.44,4.51,4.23,724357.0,315183040.0,300158.SZ,4.288,,,
2025-05-29,4.35,4.48,4.56,4.32,660446.0,296092224.0,300158.SZ,4.338,4.218999999999999,,
2025-05-30,4.51,4.43,4.75,4.42,706929.0,321978912.0,300158.SZ,4.37,4.2620000000000005,,
2025-06-03,4.35,4.67,4.81,4.34,742403.0,340180416.0,300158.SZ,4.484,4.332,,
2025-06-04,4.65,4.56,4.66,4.52,522198.0,238228784.0,300158.SZ,4.516,4.372,,
2025-06-05,4.57,4.47,4.58,4.42,406318.0,181538048.0,300158.SZ,4.522,4.404999999999999,,
2025-06-06,4.42,4.4,4.55,4.36,290730.0,128401632.0,300158.SZ,4.506,4.422,,
2025-06-09,4.42,4.54,4.58,4.4,425629.0,192667216.0,300158.SZ,4.5280000000000005,4.449,,
2025-06-10,4.52,4.66,4.82,4.52,753556.0,351898848.0,300158.SZ,4.526,4.505000000000001,,
2025-06-11,4.65,4.61,4.79,4.6,508239.0,237269088.0,300158.SZ,4.536,4.526,,
2025-06-12,4.61,4.64,4.69,4.57,362325.0,167335856.0,300158.SZ,4.57,4.546,,
2025-06-13,4.66,4.75,5.1,4.65,817484.0,399172864.0,300158.SZ,4.640000000000001,4.573,4.396,
2025-06-16,4.67,4.74,4.78,4.57,430750.0,201684912.0,300158.SZ,4.68,4.604,4.433,
2025-06-17,4.74,4.61,4.92,4.57,568404.0,267475920.0,300158.SZ,4.67,4.598000000000001,4.465,
2025-06-18,4.53,4.43,4.57,4.42,386685.0,172842288.0,300158.SZ,4.634,4.585,4.4785,
2025-06-19,4.42,4.33,4.45,4.31,261711.0,114119384.0,300158.SZ,4.572,4.571,4.488,
