date,Open,Close,High,Low,Volume,amount,code,MA5,MA10,MA20,MA60
2025-05-16,10.5,10.71,10.71,10.45,42062.0,44636096.0,300993.SZ,,,,
2025-05-19,10.66,11.25,11.45,10.58,189350.0,211032144.0,300993.SZ,,,,
2025-05-20,11.16,11.5,11.78,11.12,171116.0,195921296.0,300993.SZ,,,,
2025-05-21,11.55,11.3,11.57,11.24,88315.0,100477632.0,300993.SZ,,,,
2025-05-22,11.22,11.23,11.48,11.12,71606.0,80654592.0,300993.SZ,11.198,,,
2025-05-23,11.15,10.93,11.26,10.89,71543.0,79186080.0,300993.SZ,11.242,,,
2025-05-26,10.99,10.89,11.04,10.75,58212.0,63397488.0,300993.SZ,11.17,,,
2025-05-27,10.93,11.17,11.35,10.86,87494.0,97572440.0,300993.SZ,11.104000000000001,,,
2025-05-28,11.18,11.21,11.55,11.16,67219.0,76075568.0,300993.SZ,11.086,,,
2025-05-29,11.21,11.6,11.9,11.19,127323.0,147653952.0,300993.SZ,11.16,11.179,,
2025-05-30,11.5,11.49,11.9,11.38,92954.0,107495952.0,300993.SZ,11.272,11.257000000000001,,
2025-06-03,11.39,11.97,12.24,11.39,143164.0,170652272.0,300993.SZ,11.488,11.328999999999999,,
2025-06-04,11.9,12.06,12.38,11.9,101049.0,122288896.0,300993.SZ,11.666,11.385,,
2025-06-05,12.0,11.86,12.15,11.85,78845.0,94286792.0,300993.SZ,11.796,11.440999999999999,,
2025-06-06,11.85,11.67,11.85,11.57,51783.0,60275204.0,300993.SZ,11.809999999999999,11.485000000000001,,
2025-06-09,11.68,11.76,11.8,11.61,53876.0,63097032.0,300993.SZ,11.864,11.568000000000001,,
2025-06-10,11.72,11.6,11.87,11.45,68109.0,79503176.0,300993.SZ,11.79,11.639,,
2025-06-11,11.6,11.49,11.66,11.43,57672.0,66474968.0,300993.SZ,11.676,11.671,,
2025-06-12,11.5,11.49,11.65,11.33,44919.0,51554852.0,300993.SZ,11.602,11.699000000000002,,
2025-06-13,11.43,11.24,11.43,11.17,53952.0,60965528.0,300993.SZ,11.516,11.663,11.421000000000001,
2025-06-16,11.2,11.26,11.37,11.2,31931.0,36038736.0,300993.SZ,11.416,11.64,11.4485,
2025-06-17,11.3,11.04,11.34,10.92,58101.0,64178888.0,300993.SZ,11.303999999999998,11.547,11.437999999999999,
2025-06-18,11.04,10.91,11.06,10.83,42478.0,46390760.0,300993.SZ,11.187999999999999,11.431999999999999,11.4085,
2025-06-19,10.95,10.69,11.05,10.64,41387.0,44690636.0,300993.SZ,11.028,11.315000000000001,11.378,
2025-06-20,10.67,10.63,10.83,10.52,36155.0,38542868.0,300993.SZ,10.906,11.211,11.347999999999999,
2025-06-23,10.53,10.9,11.09,10.53,67924.0,73724992.0,300993.SZ,10.834,11.125,11.346499999999999,
2025-06-24,10.99,11.1,11.38,10.99,64834.0,72534960.0,300993.SZ,10.846,11.075,11.357,
2025-06-25,11.22,11.78,12.2,11.14,175653.0,205527488.0,300993.SZ,11.02,11.104000000000001,11.3875,
2025-06-26,11.7,12.23,12.96,11.68,227593.0,280705952.0,300993.SZ,11.328,11.178,11.438500000000001,
2025-06-27,12.2,14.68,14.68,12.1,327918.0,433629984.0,300993.SZ,12.138,11.522,11.592500000000001,
2025-06-30,14.39,15.16,15.76,13.76,487244.0,718281664.0,300993.SZ,12.99,11.911999999999999,11.776,
2025-07-01,14.68,14.91,15.16,14.2,324705.0,476845472.0,300993.SZ,13.752,12.299000000000001,11.923,
2025-07-02,14.89,16.24,17.29,14.73,451709.0,711453056.0,300993.SZ,14.644,12.831999999999999,12.132,
2025-07-03,16.06,17.21,17.86,15.91,410282.0,693073536.0,300993.SZ,15.64,13.484,12.3995,
2025-07-04,16.81,15.65,17.82,15.51,406220.0,670542656.0,300993.SZ,15.834,13.986,12.5985,
2025-07-07,15.82,16.35,17.2,15.52,332293.0,548317824.0,300993.SZ,16.072000000000003,14.531,12.828,
2025-07-08,16.22,15.66,16.59,15.55,296179.0,470506528.0,300993.SZ,16.222,14.987,13.031,
