日期,开盘,最高,最低,收盘,成交量,成交额,股票代码
2024-03-14,92.7,96.6,92.0,94.0,21650.0,203254224.0,301191
2024-03-15,93.15,96.28,92.05,95.62,21946.0,207191120.0,301191
2024-03-18,95.14,96.77,94.27,95.25,33200.0,316553696.0,301191
2024-03-19,94.11,101.0,92.6,97.81,44382.0,429611200.0,301191
2024-03-20,97.1,98.62,94.5,95.41,29427.0,282596192.0,301191
2024-03-21,94.9,96.5,93.38,93.56,18878.0,179047120.0,301191
2024-03-22,93.01,96.2,93.01,93.04,18431.0,173881888.0,301191
2024-03-25,94.4,97.55,91.2,92.1,26872.0,255195840.0,301191
2024-03-26,89.99,91.98,85.3,86.5,29388.0,259020416.0,301191
2024-03-27,86.31,86.98,81.11,81.36,19855.0,165088848.0,301191
2024-03-28,81.19,85.98,80.52,83.95,20761.0,173448832.0,301191
2024-03-29,83.66,87.0,81.3,86.93,20373.0,171574048.0,301191
2024-04-01,86.35,94.42,86.0,90.63,25193.0,229319520.0,301191
2024-04-02,90.17,93.66,87.34,88.31,23254.0,210694032.0,301191
2024-04-03,87.86,88.85,83.01,84.11,16966.0,143905696.0,301191
2024-04-08,84.08,85.57,81.5,81.87,14796.0,123614024.0,301191
2024-04-09,81.96,83.22,79.01,79.8,18333.0,146717920.0,301191
2024-04-10,79.98,80.11,76.7,77.95,11965.0,93442256.0,301191
2024-04-11,77.78,78.88,77.01,77.15,10371.0,80892904.0,301191
2024-04-12,77.87,81.5,77.18,78.95,18611.0,147178608.0,301191
2024-04-15,78.04,79.48,72.85,74.21,22091.0,166184016.0,301191
2024-04-16,74.5,74.85,67.35,67.51,22371.0,155830816.0,301191
2024-04-17,69.16,74.78,69.16,74.63,22456.0,163478688.0,301191
2024-04-18,76.7,79.48,73.03,75.98,25524.0,193708544.0,301191
2024-04-19,75.11,78.2,73.0,73.92,15925.0,119379400.0,301191
2024-04-22,71.49,73.49,70.28,72.82,10408.0,75199144.0,301191
2024-04-23,73.66,74.25,72.0,72.05,11309.0,82378752.0,301191
2024-04-24,72.1,76.55,71.89,76.55,19893.0,148730752.0,301191
2024-04-25,76.25,76.45,74.7,75.0,15308.0,115373680.0,301191
2024-04-26,74.51,80.27,74.02,79.09,31644.0,246649120.0,301191
2024-04-29,80.29,81.38,78.52,79.4,25228.0,201405840.0,301191
2024-04-30,79.4,80.2,77.09,77.86,15597.0,122160216.0,301191
2024-05-06,79.0,79.48,77.53,77.89,14495.0,113526672.0,301191
2024-05-07,78.1,78.78,76.32,77.21,15257.0,118073824.0,301191
2024-05-08,76.73,76.88,74.61,74.86,13573.0,102446112.0,301191
2024-05-09,74.92,76.52,74.85,75.35,10722.0,81159088.0,301191
2024-05-10,75.64,79.78,75.5,75.7,31580.0,245382496.0,301191
2024-05-13,74.49,75.7,71.31,71.7,23731.0,172917760.0,301191
2024-05-14,72.36,73.55,71.02,72.14,14426.0,104106032.0,301191
2024-05-15,71.96,73.0,70.4,70.71,10852.0,77190336.0,301191
2024-05-16,71.49,74.18,71.3,72.93,20205.0,146936176.0,301191
2024-05-17,72.69,76.98,71.03,76.91,25948.0,193392240.0,301191
2024-05-20,76.8,80.78,74.04,80.1,32375.0,252062656.0,301191
2024-05-21,81.21,88.33,78.1,82.31,55033.0,456492352.0,301191
2024-05-22,80.01,81.99,78.08,80.5,41076.0,326659648.0,301191
2024-05-23,81.19,83.03,79.33,81.46,35831.0,292268448.0,301191
2024-05-24,87.29,94.94,82.05,82.53,76078.0,662846912.0,301191
2024-05-27,80.58,81.5,74.53,76.27,50134.0,388603776.0,301191
2024-05-28,74.76,75.88,72.7,73.25,29043.0,214521440.0,301191
2024-05-29,73.25,75.3,72.91,73.78,17650.0,130164952.0,301191
