日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-13,300757,82.84,82.35,83.83,81.2,38344,316460527.0,3.2,0.32,0.26,2.63
2024-08-14,300757,82.9,81.23,83.07,80.81,38875,317141817.0,2.74,-1.36,-1.12,2.66
2024-08-15,300757,80.84,81.66,82.54,80.4,30848,252152713.0,2.63,0.53,0.43,2.11
2024-08-16,300757,82.7,84.84,86.5,82.2,63540,540260850.0,5.27,3.89,3.18,4.35
2024-08-19,300757,84.84,82.87,84.84,82.52,43598,364471895.0,2.73,-2.32,-1.97,2.99
2024-08-20,300757,83.9,81.97,83.9,81.76,29272,242015957.0,2.58,-1.09,-0.9,2.01
2024-08-21,300757,80.97,82.2,83.55,80.97,29299,242040142.0,3.15,0.28,0.23,2.01
2024-08-22,300757,82.14,79.92,82.4,78.48,50700,407915077.0,4.77,-2.77,-2.28,3.47
2024-08-23,300757,78.91,77.1,79.56,76.91,42554,330775587.0,3.32,-3.53,-2.82,2.92
2024-08-26,300757,77.5,78.39,79.2,77.42,33076,258924416.0,2.31,1.67,1.29,2.27
2024-08-27,300757,77.85,78.93,79.84,77.81,27703,218096606.0,2.59,0.69,0.54,1.9
2024-08-28,300757,78.35,79.17,80.7,78.35,25408,202562511.0,2.98,0.3,0.24,1.74
2024-08-29,300757,78.7,80.67,81.29,77.2,41683,331313261.0,5.17,1.89,1.5,2.86
2024-08-30,300757,80.41,83.23,83.9,80.41,44391,368382995.0,4.33,3.17,2.56,3.04
2024-09-02,300757,82.9,78.91,84.13,78.91,46174,374876795.0,6.27,-5.19,-4.32,3.16
2024-09-03,300757,79.05,78.29,79.67,77.2,30932,241991783.0,3.13,-0.79,-0.62,2.12
2024-09-04,300757,74.4,75.7,76.56,72.4,43689,326659167.0,5.31,-3.31,-2.59,2.99
2024-09-05,300757,75.56,76.5,78.63,75.49,33312,257090375.0,4.15,1.06,0.8,2.28
2024-09-06,300757,76.29,72.1,76.71,71.9,55100,405405600.0,6.29,-5.75,-4.4,3.77
2024-09-09,300757,70.4,70.85,71.67,67.96,54867,383736918.0,5.15,-1.73,-1.25,3.76
2024-09-10,300757,70.85,70.53,71.5,69.7,43884,310533568.0,2.54,-0.45,-0.32,3.01
2024-09-11,300757,70.91,76.45,77.58,69.82,82596,608126557.0,11.0,8.39,5.92,5.66
2024-09-12,300757,78.84,80.26,82.21,78.01,88627,712669333.0,5.49,4.98,3.81,6.07
2024-09-13,300757,80.26,80.29,81.66,79.62,60110,484041120.0,2.54,0.04,0.03,4.12
2024-09-18,300757,79.46,81.04,81.21,79.15,41929,337242216.0,2.57,0.93,0.75,2.87
2024-09-19,300757,81.96,79.53,81.96,78.96,46384,372466025.0,3.7,-1.86,-1.51,3.18
2024-09-20,300757,80.16,80.96,81.15,78.62,42863,343754781.0,3.18,1.8,1.43,2.94
2024-09-23,300757,80.46,80.02,83.94,79.96,44138,360743193.0,4.92,-1.16,-0.94,3.02
2024-09-24,300757,80.38,84.75,85.47,78.84,91589,756349464.0,8.29,5.91,4.73,6.27
2024-09-25,300757,88.32,94.76,101.32,87.36,133611,1264004615.0,16.47,11.81,10.01,9.15
2024-09-26,300757,93.36,94.38,94.86,90.06,108319,1004218379.0,5.07,-0.4,-0.38,7.42
2024-09-27,300757,94.16,98.4,100.41,93.54,117304,1142873478.0,7.28,4.26,4.02,8.04
2024-09-30,300757,98.4,116.46,117.34,97.87,164835,1814584019.0,19.79,18.35,18.06,11.29
2024-10-08,300757,139.76,139.76,139.76,128.96,152327,2091360756.0,9.27,20.01,23.3,10.44
2024-10-09,300757,139.96,151.34,167.71,137.56,199230,3069387635.0,21.57,8.29,11.58,13.65
2024-10-10,300757,158.81,155.56,171.96,144.96,188988,3012186053.0,17.84,2.79,4.22,12.95
2024-10-11,300757,150.96,149.46,159.95,146.56,147534,2259231587.0,8.61,-3.92,-6.1,10.11
2024-10-14,300757,149.96,179.36,179.36,144.84,174883,2806406420.0,23.1,20.01,29.9,11.98
2024-10-15,300757,177.96,174.36,189.86,172.94,172607,3116064908.0,9.43,-2.79,-5.0,11.82
2024-10-16,300757,173.95,155.98,176.96,146.8,208924,3376594070.0,17.3,-10.54,-18.38,14.31
2024-10-17,300757,158.96,158.85,163.36,157.06,138825,2227335639.0,4.04,1.84,2.87,9.51
2024-10-18,300757,159.96,190.63,190.63,159.96,184091,3283821893.0,19.31,20.01,31.78,12.61
2024-10-21,300757,193.03,208.66,222.18,190.96,220589,4604615006.0,16.38,9.46,18.03,15.11
2024-10-22,300757,210.07,206.96,213.96,201.26,136476,2834767622.0,6.09,-0.81,-1.7,9.35
2024-10-23,300757,200.96,204.4,219.58,200.96,128025,2669187367.0,9.0,-1.24,-2.56,8.77
2024-10-24,300757,200.96,200.94,205.99,195.96,93953,1888814218.0,4.91,-1.69,-3.46,6.44
2024-10-25,300757,204.06,200.42,207.61,198.96,88817,1796741752.0,4.3,-0.26,-0.52,6.08
2024-10-28,300757,195.96,199.55,203.96,193.0,81174,1610671037.0,5.47,-0.43,-0.87,5.56
2024-10-29,300757,199.97,204.96,223.93,199.64,148710,3141575555.0,12.17,2.71,5.41,10.19
2024-10-30,300757,200.96,212.96,216.36,200.96,103621,2169071485.0,7.51,3.9,8.0,7.1
2024-10-31,300757,212.62,206.86,212.62,197.56,102210,2102005729.0,7.07,-2.86,-6.1,7.0
2024-11-01,300757,201.14,196.56,203.23,190.62,93815,1848840595.0,6.1,-4.98,-10.3,6.43
