日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-11,300006.SZ,4.97,5.22,5.25,4.9,628091,321357568.0,7.04,5.03,0.25,0.0
2025-11-12,300006.SZ,5.26,5.23,5.36,5.12,573295,301288448.0,4.6,0.19,0.01,0.0
2025-11-13,300006.SZ,5.25,5.41,5.5,5.15,624545,336296832.0,6.69,3.44,0.18,0.0
2025-11-14,300006.SZ,5.34,5.38,5.55,5.33,482987,263121408.0,4.07,-0.55,-0.03,0.0
2025-11-17,300006.SZ,5.37,5.43,5.44,5.28,398426,213485984.0,2.97,0.93,0.05,0.0
2025-11-18,300006.SZ,5.43,5.22,5.47,5.18,450585,238143968.0,5.34,-3.87,-0.21,0.0
2025-11-19,300006.SZ,5.21,5.18,5.32,5.12,313039,162675296.0,3.83,-0.77,-0.04,0.0
2025-11-20,300006.SZ,5.25,5.14,5.25,4.98,271855,139328608.0,5.21,-0.77,-0.04,0.0
2025-11-21,300006.SZ,5.1,4.97,5.2,4.94,305734,154244272.0,5.06,-3.31,-0.17,0.0
2025-11-24,300006.SZ,5.0,4.91,5.08,4.85,225821,111642448.0,4.63,-1.21,-0.06,0.0
2025-11-25,300006.SZ,4.93,5.01,5.07,4.89,234389,116735816.0,3.67,2.04,0.1,0.0
2025-11-26,300006.SZ,5.04,5.4,5.73,5.03,909601,486166432.0,13.97,7.78,0.39,0.0
2025-11-27,300006.SZ,5.26,5.27,5.42,5.14,677767,354295136.0,5.19,-2.41,-0.13,0.0
