date,Open,Close,High,Low,Volume,amount,code,MA5,MA10,MA20,MA60
2025-05-16,110.1,111.69,112.99,110.1,30890.0,345480352.0,300870.SZ,,,,
2025-05-19,111.36,108.15,111.44,107.01,36583.0,396106144.0,300870.SZ,,,,
2025-05-20,108.5,110.57,111.6,106.11,32091.0,350480032.0,300870.SZ,,,,
2025-05-21,110.57,107.1,110.77,106.66,25656.0,276444736.0,300870.SZ,,,,
2025-05-22,110.57,108.9,114.41,108.01,56037.0,625585344.0,300870.SZ,109.282,,,
2025-05-23,106.08,104.0,107.4,103.5,40210.0,422304544.0,300870.SZ,107.744,,,
2025-05-26,102.02,107.72,110.0,102.01,38891.0,416473024.0,300870.SZ,107.65799999999999,,,
2025-05-27,107.46,104.5,108.8,103.79,21441.0,225713760.0,300870.SZ,106.444,,,
2025-05-28,104.58,103.9,105.43,102.82,17664.0,183477056.0,300870.SZ,105.804,,,
2025-05-29,104.29,104.55,105.98,103.82,21623.0,226547456.0,300870.SZ,104.93400000000001,107.10799999999999,,
2025-05-30,103.4,100.94,104.2,99.9,27359.0,276853952.0,300870.SZ,104.322,106.03299999999999,,
2025-06-03,101.2,99.97,102.6,99.7,20920.0,211629920.0,300870.SZ,102.772,105.21499999999999,,
2025-06-04,100.0,102.99,104.25,98.45,47599.0,484473536.0,300870.SZ,102.47,104.457,,
2025-06-05,102.5,111.03,112.34,100.3,68829.0,738453760.0,300870.SZ,103.896,104.85,,
2025-06-06,109.09,112.04,113.75,109.09,45333.0,507311232.0,300870.SZ,105.394,105.16400000000002,,
2025-06-09,112.3,112.16,114.51,110.5,33485.0,377151936.0,300870.SZ,107.638,105.97999999999999,,
2025-06-10,113.26,111.17,113.63,108.54,26733.0,295135264.0,300870.SZ,109.878,106.325,,
2025-06-11,111.18,108.57,111.19,108.1,23086.0,252539200.0,300870.SZ,110.994,106.732,,
2025-06-12,108.0,113.02,115.85,106.83,47355.0,536511360.0,300870.SZ,111.39200000000001,107.644,,
2025-06-13,111.47,111.8,114.5,111.11,34833.0,390997248.0,300870.SZ,111.34400000000001,108.369,107.7385,
2025-06-16,110.1,113.48,116.81,109.91,30334.0,345730624.0,300870.SZ,111.60799999999999,109.623,107.828,
2025-06-17,112.69,109.78,113.86,109.09,25045.0,276934464.0,300870.SZ,111.33,110.604,107.90950000000001,
2025-06-18,109.38,114.38,115.2,107.4,40735.0,455711072.0,300870.SZ,112.492,111.74300000000001,108.1,
2025-06-19,120.01,116.42,124.0,115.5,71230.0,856815424.0,300870.SZ,113.172,112.282,108.566,
2025-06-20,114.63,111.35,116.52,110.02,44281.0,497935008.0,300870.SZ,113.082,112.21300000000001,108.6885,
2025-06-23,110.0,112.71,115.69,109.9,31489.0,353649824.0,300870.SZ,112.928,112.26799999999999,109.124,
2025-06-24,114.49,115.23,117.73,113.0,49538.0,569773632.0,300870.SZ,114.018,112.674,109.49950000000001,
2025-06-25,118.99,121.4,124.98,118.0,83684.0,1017229312.0,300870.SZ,115.422,113.95700000000002,110.34450000000001,
2025-06-26,121.4,117.18,123.0,116.98,49611.0,594343552.0,300870.SZ,115.574,114.373,111.0085,
2025-06-27,116.69,124.04,125.52,115.0,65902.0,805547456.0,300870.SZ,118.112,115.59699999999998,111.98299999999999,
2025-06-30,124.04,126.5,129.0,123.67,55503.0,701185344.0,300870.SZ,120.87,116.899,113.261,
2025-07-01,126.0,126.9,128.6,124.59,40166.0,509334528.0,300870.SZ,123.204,118.61099999999999,114.6075,
2025-07-02,125.3,125.18,126.2,121.89,30497.0,378686720.0,300870.SZ,123.96000000000001,119.691,115.71700000000001,
2025-07-03,125.0,121.31,125.88,120.13,35982.0,438365376.0,300870.SZ,124.78600000000002,120.17999999999999,116.231,
2025-07-04,122.37,119.41,124.2,118.7,41862.0,508620416.0,300870.SZ,123.85999999999999,120.98600000000002,116.5995,
2025-07-07,117.56,119.69,121.75,116.34,23482.0,278841504.0,300870.SZ,122.498,121.684,116.976,
2025-07-08,118.49,122.64,122.88,118.11,28472.0,345553312.0,300870.SZ,121.646,122.425,117.54950000000001,
2025-07-09,122.63,120.07,123.6,119.28,29377.0,355348096.0,300870.SZ,120.624,122.29199999999999,118.12449999999998,
2025-07-10,119.91,120.89,124.15,119.91,25429.0,310335616.0,300870.SZ,120.54,122.66300000000001,118.518,
2025-07-11,120.0,119.98,121.39,118.3,23778.0,285008128.0,300870.SZ,120.654,122.25700000000002,118.92700000000002,
2025-07-14,125.25,128.4,131.8,124.0,65618.0,840724288.0,300870.SZ,122.396,122.447,119.673,
2025-07-15,130.0,140.29,142.83,129.88,88812.0,1234835968.0,300870.SZ,125.926,123.78600000000002,121.19850000000001,
2025-07-16,140.25,140.35,147.88,138.66,67803.0,969330944.0,300870.SZ,129.982,125.303,122.497,
2025-07-17,140.4,140.49,142.1,137.0,46304.0,648644992.0,300870.SZ,133.902,127.221,123.70049999999999,
2025-07-18,140.85,139.57,147.77,139.12,45241.0,646241024.0,300870.SZ,137.82,129.237,125.1115,
2025-07-21,136.5,132.0,137.89,130.52,58290.0,776040768.0,300870.SZ,138.54000000000002,130.46800000000002,126.076,
2025-07-22,133.0,129.7,134.69,129.06,38876.0,510970688.0,300870.SZ,136.422,131.174,126.7995,
2025-07-23,128.82,129.67,132.15,127.86,33624.0,436881824.0,300870.SZ,134.286,132.13400000000001,127.21300000000001,
2025-07-24,130.44,130.04,131.2,128.72,27461.0,356193184.0,300870.SZ,132.196,133.049,127.856,
2025-07-25,130.58,131.15,131.26,127.1,30039.0,388345664.0,300870.SZ,130.512,134.166,128.2115,
2025-07-28,133.0,131.9,134.16,131.0,33274.0,439139808.0,300870.SZ,130.492,134.51600000000002,128.4815,
2025-07-29,131.0,134.68,136.99,127.95,54277.0,715262976.0,300870.SZ,131.488,133.95499999999998,128.8705,
2025-07-30,133.0,129.97,136.0,129.3,39186.0,516870368.0,300870.SZ,131.548,132.917,129.10999999999999,
