日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-18,301446,17.89,17.48,18.07,17.3,11491,20470743.0,4.3,-2.35,-0.42,4.42
2024-09-19,301446,17.56,17.63,17.85,17.4,9902,17789959.0,2.57,0.86,0.15,3.81
2024-09-20,301446,17.64,17.36,17.79,17.23,11056,19554097.0,3.18,-1.53,-0.27,4.25
2024-09-23,301446,17.49,17.33,17.49,17.14,6848,12075847.0,2.02,-0.17,-0.03,2.63
2024-09-24,301446,17.34,17.91,17.96,17.34,13676,24597150.0,3.58,3.35,0.58,5.26
2024-09-25,301446,18.1,18.08,18.45,18.05,17454,32334622.0,2.23,0.95,0.17,6.71
2024-09-26,301446,17.96,18.45,18.46,17.94,16417,30400708.0,2.88,2.05,0.37,6.31
2024-09-27,301446,18.7,19.3,19.66,18.51,27435,52717124.0,6.23,4.61,0.85,10.55
2024-09-30,301446,19.95,21.64,22.18,19.63,56942,119774516.0,13.21,12.12,2.34,21.9
2024-10-08,301446,25.18,23.76,25.77,21.8,66986,160305130.0,18.35,9.8,2.12,25.76
2024-10-09,301446,22.99,20.47,23.02,20.47,45968,100914691.0,10.73,-13.85,-3.29,17.68
2024-10-10,301446,20.87,21.15,22.05,20.7,33470,72310611.0,6.6,3.32,0.68,12.87
2024-10-11,301446,20.8,19.98,21.15,19.81,23164,47427088.0,6.34,-5.53,-1.17,8.91
2024-10-14,301446,20.18,20.6,20.63,19.81,18250,37439091.0,4.1,3.1,0.62,7.02
2024-10-15,301446,20.56,20.41,20.9,20.29,18602,38803965.0,2.96,-0.92,-0.19,7.15
2024-10-16,301446,20.05,20.56,20.75,20.0,15451,32015135.0,3.67,0.73,0.15,5.94
2024-10-17,301446,20.57,20.39,20.88,20.38,16699,34803525.0,2.43,-0.83,-0.17,6.42
2024-10-18,301446,20.74,21.25,21.45,20.47,28106,59499553.0,4.81,4.22,0.86,10.81
2024-10-21,301446,21.1,21.41,21.69,21.05,30137,64955249.0,3.01,0.75,0.16,11.59
2024-10-22,301446,21.46,21.78,22.18,21.25,28288,62151416.0,4.34,1.73,0.37,10.88
2024-10-23,301446,21.75,22.62,23.05,21.51,44714,101502495.0,7.07,3.86,0.84,17.2
2024-10-24,301446,22.36,21.65,22.71,21.5,28506,62575705.0,5.35,-4.29,-0.97,10.96
2024-10-25,301446,21.7,21.83,22.1,21.53,20312,44789524.0,2.63,0.83,0.18,7.81
2024-10-28,301446,21.84,21.91,22.02,21.4,23288,51227635.0,2.84,0.37,0.08,8.96
2024-10-29,301446,21.86,20.99,21.91,20.95,21669,46586655.0,4.38,-4.2,-0.92,8.33
2024-10-30,301446,21.02,20.85,21.35,20.55,14115,29798790.0,3.81,-0.67,-0.14,5.43
2024-10-31,301446,20.95,21.04,21.17,20.73,12947,27441837.0,2.11,0.91,0.19,4.98
2024-11-01,301446,20.99,20.35,21.11,20.22,18773,38985181.0,4.23,-3.28,-0.69,7.22
2024-11-04,301446,20.58,21.04,21.08,20.26,13192,27704923.0,4.03,3.39,0.69,5.07
2024-11-05,301446,21.04,21.38,21.43,20.91,20183,43235892.0,2.47,1.62,0.34,7.76
2024-11-06,301446,21.3,21.25,21.66,21.1,22805,49247916.0,2.62,-0.61,-0.13,8.77
2024-11-07,301446,21.35,21.52,21.56,21.03,21136,45627636.0,2.49,1.27,0.27,8.13
2024-11-08,301446,21.68,21.49,21.93,21.38,22312,48770795.0,2.56,-0.14,-0.03,8.58
2024-11-11,301446,21.65,21.98,22.0,21.49,21770,47890368.0,2.37,2.28,0.49,8.37
2024-11-12,301446,21.92,22.16,22.59,21.91,29225,65600133.0,3.09,0.82,0.18,11.24
2024-11-13,301446,21.88,22.47,22.51,21.8,23421,52437605.0,3.2,1.4,0.31,9.01
2024-11-14,301446,22.48,21.55,22.55,21.52,18296,40667520.0,4.58,-4.09,-0.92,7.04
2024-11-15,301446,21.59,21.28,21.92,21.26,17100,37269222.0,3.06,-1.25,-0.27,6.58
2024-11-18,301446,21.49,20.62,21.55,20.52,13465,28388906.0,4.84,-3.1,-0.66,5.18
2024-11-19,301446,20.77,21.44,21.45,20.63,10963,23255268.0,3.98,3.98,0.82,4.22
2024-11-20,301446,21.44,21.78,21.84,21.25,12416,27157383.0,2.75,1.59,0.34,4.78
2024-11-21,301446,21.8,21.95,22.15,21.63,15407,34085167.0,2.39,0.78,0.17,5.93
2024-11-22,301446,21.95,20.95,22.05,20.86,16543,35856275.0,5.42,-4.56,-1.0,6.36
2024-11-25,301446,20.95,21.6,21.6,20.88,11966,25769434.0,3.44,3.1,0.65,4.6
2024-11-26,301446,21.65,22.03,22.38,21.45,23630,52207126.0,4.31,1.99,0.43,9.09
2024-11-27,301446,22.05,22.86,22.92,21.33,47527,107655962.0,7.22,3.77,0.83,18.28
2024-11-28,301446,22.81,22.3,22.97,22.18,31268,71129725.0,3.46,-2.45,-0.56,12.03
2024-11-29,301446,22.26,22.43,22.7,22.12,21327,48261321.0,2.6,0.58,0.13,8.2
2024-12-02,301446,22.44,22.86,22.89,22.41,26364,60436093.0,2.14,1.92,0.43,10.14
2024-12-03,301446,22.78,22.66,23.28,22.47,24630,56679390.0,3.54,-0.87,-0.2,9.47
2024-12-04,301446,22.55,22.5,22.86,22.2,20410,46376096.0,2.91,-0.71,-0.16,7.85
2024-12-05,301446,22.4,22.56,22.65,22.2,16346,36965678.0,2.0,0.27,0.06,6.29
2024-12-06,301446,22.5,22.44,22.67,22.03,18055,40614364.0,2.84,-0.53,-0.12,6.94
2024-12-09,301446,22.53,22.41,22.76,22.14,12617,28539106.0,2.76,-0.13,-0.03,4.85
2024-12-10,301446,23.01,22.37,23.2,22.34,20717,47375856.0,3.84,-0.18,-0.04,7.97
2024-12-11,301446,22.43,22.39,22.48,22.15,12185,27440912.0,1.48,0.09,0.02,4.69
2024-12-12,301446,22.4,22.52,22.62,22.33,16208,36775111.0,1.3,0.58,0.13,6.23
2024-12-13,301446,22.5,22.59,23.1,22.26,24429,55850618.0,3.73,0.31,0.07,9.4
2024-12-16,301446,22.68,23.43,23.45,22.6,41193,96283656.0,3.76,3.72,0.84,15.84
2024-12-17,301446,23.2,23.6,25.59,22.56,76172,184248117.0,12.93,0.73,0.17,29.3
2024-12-18,301446,23.74,23.72,24.79,21.79,53709,124711415.0,12.71,0.51,0.12,20.66
2024-12-19,301446,22.95,22.53,23.62,22.21,39026,89505792.0,5.94,-5.02,-1.19,15.01
2024-12-20,301446,22.59,24.29,24.7,22.42,63477,152906605.0,10.12,7.81,1.76,24.41
2024-12-23,301446,23.9,22.32,24.25,21.84,50173,116106435.0,9.92,-8.11,-1.97,19.3
2024-12-24,301446,22.32,24.56,26.5,22.1,70151,171679664.0,19.71,10.04,2.24,26.98
2024-12-25,301446,24.28,24.01,24.78,23.31,49278,119051071.0,5.99,-2.24,-0.55,18.95
2024-12-26,301446,23.79,24.84,25.15,23.72,54468,135081751.0,5.96,3.46,0.83,20.95
2024-12-27,301446,24.39,24.26,24.85,23.95,38058,93554975.0,3.62,-2.33,-0.58,14.64
2024-12-30,301446,23.89,23.47,24.1,22.97,28636,67484801.0,4.66,-3.26,-0.79,11.01
2024-12-31,301446,23.3,21.84,23.44,21.8,34624,77964666.0,6.99,-6.95,-1.63,13.32
2025-01-02,301446,21.8,20.74,21.81,20.38,27099,57536335.0,6.55,-5.04,-1.1,10.42
2025-01-03,301446,20.73,19.57,20.83,19.35,21231,42629747.0,7.14,-5.64,-1.17,8.17
