日期,开盘,最高,最低,收盘,成交量,成交额,股票代码
2024-02-21,2.06,2.23,2.06,2.17,393173.0,85397848.0,300256
2024-02-22,2.15,2.23,2.15,2.21,313247.0,68622320.0,300256
2024-02-23,2.2,2.32,2.18,2.31,426367.0,96337984.0,300256
2024-02-26,2.33,2.39,2.27,2.33,419509.0,97640280.0,300256
2024-02-27,2.32,2.42,2.3,2.42,367007.0,86592936.0,300256
2024-02-28,2.43,2.48,2.18,2.2,609354.0,142830080.0,300256
2024-02-29,2.15,2.3,2.15,2.3,374746.0,84660832.0,300256
2024-03-01,2.31,2.4,2.31,2.37,416838.0,98568712.0,300256
2024-03-04,2.37,2.42,2.27,2.34,325182.0,75785776.0,300256
2024-03-05,2.33,2.33,2.25,2.28,266716.0,61028436.0,300256
2024-03-06,2.26,2.34,2.24,2.3,268221.0,61397048.0,300256
2024-03-07,2.31,2.44,2.29,2.3,406228.0,95056056.0,300256
2024-03-08,2.29,2.39,2.27,2.36,345424.0,80185480.0,300256
2024-03-11,2.33,2.36,2.29,2.35,317533.0,73754960.0,300256
2024-03-12,2.36,2.4,2.34,2.4,339758.0,80535000.0,300256
2024-03-13,2.4,2.41,2.34,2.36,278547.0,65974436.0,300256
2024-03-14,2.36,2.45,2.31,2.41,572649.0,136214112.0,300256
2024-03-15,2.4,2.55,2.33,2.47,815741.0,199270448.0,300256
2024-03-18,2.48,2.52,2.43,2.48,529260.0,130433208.0,300256
2024-03-19,2.48,2.51,2.45,2.46,430935.0,107010128.0,300256
2024-03-20,2.46,2.48,2.44,2.47,271571.0,66851152.0,300256
2024-03-21,2.49,2.51,2.44,2.47,326892.0,81003872.0,300256
2024-03-22,2.46,2.47,2.39,2.4,377317.0,91248520.0,300256
2024-03-25,2.38,2.41,2.29,2.3,359648.0,84632328.0,300256
2024-03-26,2.28,2.32,2.23,2.28,309199.0,70178400.0,300256
2024-03-27,2.27,2.28,2.16,2.17,267845.0,59147564.0,300256
2024-03-28,2.17,2.27,2.16,2.24,301972.0,67258064.0,300256
2024-03-29,2.25,2.45,2.22,2.39,514889.0,120127472.0,300256
2024-04-01,2.35,2.4,2.33,2.36,389522.0,92065296.0,300256
2024-04-02,2.37,2.39,2.32,2.34,297960.0,69923936.0,300256
2024-04-03,2.36,2.55,2.32,2.44,764298.0,187013232.0,300256
