日期,开盘,最高,最低,收盘,成交量,成交额,股票代码
2024-09-04,4.93,5.25,4.8,5.21,386977.0,196157824.0,300410
2024-09-05,5.12,5.21,5.03,5.17,292265.0,149377984.0,300410
2024-09-06,5.1,5.11,4.78,4.79,209779.0,103488736.0,300410
2024-09-09,4.74,4.83,4.62,4.73,130872.0,61644236.0,300410
2024-09-10,4.72,4.77,4.6,4.72,102995.0,48272656.0,300410
2024-09-11,4.7,4.81,4.67,4.74,122149.0,58129000.0,300410
2024-09-12,4.73,4.9,4.7,4.76,125029.0,59977816.0,300410
2024-09-13,4.77,4.84,4.56,4.56,125616.0,58053304.0,300410
2024-09-18,4.6,4.63,4.42,4.49,90037.0,40527136.0,300410
2024-09-19,4.55,4.67,4.46,4.63,102432.0,47137928.0,300410
2024-09-20,4.62,4.71,4.52,4.55,77896.0,35824156.0,300410
2024-09-23,4.61,4.74,4.51,4.7,108655.0,50549896.0,300410
2024-09-24,4.69,4.8,4.59,4.79,160565.0,75792408.0,300410
2024-09-25,4.83,4.97,4.79,4.84,193401.0,94317352.0,300410
2024-09-26,4.82,4.93,4.79,4.93,141566.0,68873344.0,300410
2024-09-27,5.01,5.38,4.98,5.27,279216.0,143958768.0,300410
2024-09-30,5.49,6.14,5.31,6.07,380202.0,218413888.0,300410
2024-10-08,7.21,7.27,6.35,7.14,438899.0,302311104.0,300410
2024-10-09,7.0,7.01,6.13,6.18,348074.0,228588928.0,300410
2024-10-10,6.3,6.52,5.98,6.16,207135.0,128939728.0,300410
2024-10-11,6.13,6.14,5.67,5.76,168426.0,99044480.0,300410
2024-10-14,5.83,6.03,5.76,6.03,131615.0,77903472.0,300410
2024-10-15,5.99,6.13,5.87,5.89,128905.0,77249440.0,300410
2024-10-16,5.76,5.93,5.67,5.83,114527.0,66514980.0,300410
2024-10-17,5.89,6.0,5.78,5.83,109335.0,64672516.0,300410
2024-10-18,5.83,6.18,5.81,6.08,169670.0,101785920.0,300410
2024-10-21,6.18,6.43,6.11,6.27,191030.0,120047864.0,300410
2024-10-22,6.25,6.43,6.2,6.37,168948.0,106562112.0,300410
2024-10-23,6.36,6.41,6.24,6.28,140872.0,89069480.0,300410
2024-10-24,6.26,6.27,6.11,6.2,107471.0,66425352.0,300410
2024-10-25,6.22,6.52,6.16,6.43,187574.0,120244096.0,300410
2024-10-28,6.53,6.64,6.4,6.64,157959.0,103478152.0,300410
2024-10-29,6.74,6.91,6.44,6.5,202127.0,133766856.0,300410
2024-10-30,6.46,6.58,6.37,6.46,115507.0,74671184.0,300410
2024-10-31,6.57,6.65,6.47,6.57,133685.0,87715128.0,300410
2024-11-01,6.51,6.59,6.01,6.01,191972.0,119096152.0,300410
2024-11-04,6.06,6.25,5.96,6.19,106566.0,65739956.0,300410
2024-11-05,6.18,6.48,6.16,6.43,125769.0,80178144.0,300410
2024-11-06,6.57,6.7,6.38,6.45,172040.0,112968944.0,300410
2024-11-07,6.44,6.64,6.35,6.64,147620.0,96385776.0,300410
2024-11-08,6.67,6.81,6.6,6.67,150737.0,101002808.0,300410
2024-11-11,6.69,7.1,6.69,7.05,241393.0,167161376.0,300410
2024-11-12,7.05,7.12,6.76,6.88,178821.0,124285856.0,300410
2024-11-13,6.8,7.6,6.56,7.12,371527.0,263602976.0,300410
2024-11-14,7.12,7.33,6.7,6.75,308147.0,215138176.0,300410
2024-11-15,6.73,6.95,6.62,6.62,194498.0,131655040.0,300410
2024-11-18,6.64,6.74,6.16,6.23,163837.0,103784120.0,300410
2024-11-19,6.22,6.6,6.21,6.6,141931.0,90719920.0,300410
2024-11-20,6.62,6.82,6.55,6.77,118682.0,79464008.0,300410
2024-11-21,6.75,6.84,6.62,6.74,113906.0,76666560.0,300410
2024-11-22,6.74,6.78,6.3,6.35,132681.0,87320960.0,300410
2024-11-25,6.5,6.64,6.32,6.62,139017.0,90529568.0,300410
2024-11-26,6.57,6.77,6.42,6.46,112651.0,73887464.0,300410
2024-11-27,6.4,6.51,6.13,6.49,129304.0,81467504.0,300410
2024-11-28,6.49,6.98,6.46,6.68,175097.0,117334600.0,300410
2024-11-29,6.65,6.74,6.39,6.71,174628.0,115051360.0,300410
2024-12-02,6.69,7.07,6.66,6.96,189210.0,130835488.0,300410
2024-12-03,6.98,7.1,6.88,7.07,159899.0,112191768.0,300410
2024-12-04,7.07,7.28,6.88,6.95,177388.0,125419872.0,300410
2024-12-05,6.87,7.17,6.87,7.09,120618.0,85203256.0,300410
2024-12-06,7.09,7.14,6.9,7.09,123940.0,87260408.0,300410
2024-12-09,7.05,7.13,6.91,7.02,101707.0,71507944.0,300410
2024-12-10,7.19,7.3,7.04,7.07,133475.0,95333144.0,300410
