日期,开盘,最高,最低,收盘,成交量,成交额,股票代码
2024-08-12,29.6,29.96,28.95,29.53,24511.0,72141160.0,301502
2024-08-13,29.62,30.15,29.27,29.85,20572.0,61187436.0,301502
2024-08-14,30.0,30.16,29.7,30.02,18713.0,56052748.0,301502
2024-08-15,30.15,30.46,29.5,30.09,29316.0,88163632.0,301502
2024-08-16,30.22,31.06,30.11,30.4,40076.0,122745648.0,301502
2024-08-19,30.14,30.2,28.5,28.57,44317.0,129866400.0,301502
2024-08-20,28.41,29.12,28.27,28.55,24191.0,69415456.0,301502
2024-08-21,28.46,29.34,28.4,28.78,21503.0,62266088.0,301502
2024-08-22,28.86,28.86,27.74,28.04,21880.0,61704256.0,301502
2024-08-23,27.99,28.07,27.31,27.34,17274.0,47779088.0,301502
2024-08-26,27.28,27.63,27.0,27.12,14252.0,38820220.0,301502
2024-08-27,27.0,27.03,26.27,26.36,17385.0,46221636.0,301502
2024-08-28,26.19,26.54,25.95,26.28,14579.0,38233196.0,301502
2024-08-29,26.1,26.62,25.75,26.3,23806.0,62420776.0,301502
2024-08-30,26.25,27.3,26.2,26.83,28907.0,77775800.0,301502
2024-09-02,26.8,26.98,25.88,25.9,20807.0,54950612.0,301502
2024-09-03,25.78,26.4,25.78,26.21,13801.0,36088812.0,301502
2024-09-04,25.81,26.36,25.64,25.97,14663.0,38058516.0,301502
2024-09-05,25.71,26.99,25.68,26.49,31312.0,82863448.0,301502
2024-09-06,26.7,26.73,25.78,25.82,22246.0,58015060.0,301502
2024-09-09,25.83,26.13,25.46,25.97,13819.0,35782608.0,301502
2024-09-10,25.96,26.4,25.6,26.32,20893.0,54369740.0,301502
2024-09-11,26.11,26.39,25.88,25.99,12718.0,33195068.0,301502
2024-09-12,26.3,26.39,25.39,25.42,16576.0,42779268.0,301502
2024-09-13,25.4,25.54,24.69,24.76,19196.0,48059828.0,301502
2024-09-18,24.8,25.0,23.94,24.33,12022.0,29188718.0,301502
2024-09-19,24.47,24.78,24.15,24.53,15539.0,38134804.0,301502
2024-09-20,24.75,24.87,24.19,24.44,12468.0,30509390.0,301502
2024-09-23,24.22,24.93,24.13,24.4,15136.0,37115712.0,301502
2024-09-24,24.46,25.21,24.08,25.2,28391.0,70472136.0,301502
2024-09-25,25.46,26.08,25.35,25.44,31168.0,80152432.0,301502
2024-09-26,25.25,26.07,25.25,26.07,31511.0,81213128.0,301502
2024-09-27,26.36,28.22,26.35,27.73,59115.0,161288736.0,301502
2024-09-30,29.0,32.09,28.3,31.74,87706.0,265078784.0,301502
2024-10-08,37.19,37.99,31.99,35.65,135267.0,474238496.0,301502
