日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-19,300404,7.8,7.54,7.81,7.51,98893,75420729.0,3.85,-3.33,-0.26,3.59
2024-08-20,300404,7.5,7.3,7.57,7.29,66292,48965515.0,3.71,-3.18,-0.24,2.41
2024-08-21,300404,7.32,7.28,7.37,7.23,39453,28856165.0,1.92,-0.27,-0.02,1.43
2024-08-22,300404,7.23,7.11,7.35,7.09,43264,31140946.0,3.57,-2.34,-0.17,1.57
2024-08-23,300404,7.15,7.08,7.16,7.0,50187,35501696.0,2.25,-0.42,-0.03,1.82
2024-08-26,300404,7.1,7.27,7.29,7.02,58506,42164268.0,3.81,2.68,0.19,2.12
2024-08-27,300404,7.49,7.08,7.62,7.05,129605,94897260.0,7.84,-2.61,-0.19,4.7
2024-08-28,300404,7.1,7.12,7.23,6.98,70795,50492282.0,3.53,0.56,0.04,2.57
2024-08-29,300404,7.04,7.28,7.32,7.03,66616,48195799.0,4.07,2.25,0.16,2.42
2024-08-30,300404,7.24,7.42,7.52,7.24,76478,56778269.0,3.85,1.92,0.14,2.78
2024-09-02,300404,7.42,7.28,7.5,7.24,67318,49577737.0,3.5,-1.89,-0.14,2.44
2024-09-03,300404,7.26,7.29,7.41,7.22,45652,33427210.0,2.61,0.14,0.01,1.66
2024-09-04,300404,7.26,7.26,7.37,7.24,41506,30324022.0,1.78,-0.41,-0.03,1.51
2024-09-05,300404,7.26,7.39,7.42,7.25,49712,36643687.0,2.34,1.79,0.13,1.8
2024-09-06,300404,7.4,7.22,7.43,7.17,54097,39370979.0,3.52,-2.3,-0.17,1.96
2024-09-09,300404,7.24,7.45,7.48,7.2,89808,66504721.0,3.88,3.19,0.23,3.26
2024-09-10,300404,7.4,7.28,7.54,7.18,82510,60225091.0,4.83,-2.28,-0.17,2.99
2024-09-11,300404,7.25,7.26,7.36,7.2,47127,34370894.0,2.2,-0.27,-0.02,1.71
2024-09-12,300404,7.26,7.35,7.43,7.23,61622,45473658.0,2.75,1.24,0.09,2.24
2024-09-13,300404,7.33,7.23,7.35,7.22,44146,32086679.0,1.77,-1.63,-0.12,1.6
2024-09-18,300404,7.23,7.05,7.26,6.95,55339,39180190.0,4.29,-2.49,-0.18,2.01
2024-09-19,300404,7.1,7.22,7.24,7.05,39693,28491386.0,2.7,2.41,0.17,1.44
2024-09-20,300404,7.26,7.04,7.26,7.01,53418,37836806.0,3.46,-2.49,-0.18,1.94
2024-09-23,300404,7.27,7.14,7.35,7.1,91956,66409793.0,3.55,1.42,0.1,3.34
2024-09-24,300404,7.16,7.33,7.33,7.04,94909,68563619.0,4.06,2.66,0.19,3.44
2024-09-25,300404,7.33,7.5,7.71,7.29,134907,101234097.0,5.73,2.32,0.17,4.9
