日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-19,300426,7.69,7.57,8.08,7.5,109835,84605578.0,7.47,-2.45,-0.19,2.75
2024-08-20,300426,7.5,7.54,7.73,7.41,96231,72630704.0,4.23,-0.4,-0.03,2.41
2024-08-21,300426,7.54,7.35,7.65,7.32,72887,54359080.0,4.38,-2.52,-0.19,1.82
2024-08-22,300426,7.36,6.98,7.4,6.95,86161,61370363.0,6.12,-5.03,-0.37,2.15
2024-08-23,300426,6.98,6.79,7.0,6.77,63366,43368131.0,3.3,-2.72,-0.19,1.58
2024-08-26,300426,6.8,6.94,6.97,6.67,48427,33268718.0,4.42,2.21,0.15,1.21
2024-08-27,300426,6.81,6.72,6.97,6.68,54442,36973365.0,4.18,-3.17,-0.22,1.36
2024-08-28,300426,6.68,6.84,6.85,6.47,73741,49329301.0,5.65,1.79,0.12,1.84
2024-08-29,300426,6.95,6.73,6.95,6.68,55766,37627565.0,3.95,-1.61,-0.11,1.39
2024-08-30,300426,6.78,6.98,7.07,6.75,80721,56245757.0,4.75,3.71,0.25,2.02
2024-09-02,300426,6.97,6.79,7.05,6.77,57179,39350449.0,4.01,-2.72,-0.19,1.43
2024-09-03,300426,6.78,6.78,6.87,6.72,37276,25307697.0,2.21,-0.15,-0.01,0.93
2024-09-04,300426,6.73,6.65,6.79,6.61,42159,28137373.0,2.65,-1.92,-0.13,1.05
2024-09-05,300426,6.69,6.83,6.87,6.66,44045,29900474.0,3.16,2.71,0.18,1.1
2024-09-06,300426,6.83,6.67,6.87,6.64,41834,28077206.0,3.37,-2.34,-0.16,1.05
2024-09-09,300426,6.68,6.71,6.9,6.68,53477,36266537.0,3.3,0.6,0.04,1.34
2024-09-10,300426,6.81,6.74,6.81,6.6,33605,22449082.0,3.13,0.45,0.03,0.84
2024-09-11,300426,6.74,6.62,6.74,6.58,29558,19630518.0,2.37,-1.78,-0.12,0.74
2024-09-12,300426,6.69,6.73,6.94,6.61,59202,40181439.0,4.98,1.66,0.11,1.48
2024-09-13,300426,6.75,6.94,7.1,6.66,127144,87839992.0,6.54,3.12,0.21,3.18
2024-09-18,300426,6.97,7.08,7.25,6.79,135708,95457137.0,6.63,2.02,0.14,3.39
2024-09-19,300426,7.1,7.11,7.25,6.95,99657,70642386.0,4.24,0.42,0.03,2.49
2024-09-20,300426,7.1,7.13,7.19,7.08,64012,45678894.0,1.55,0.28,0.02,1.6
2024-09-23,300426,7.05,7.14,7.23,7.01,58413,41628515.0,3.09,0.14,0.01,1.46
2024-09-24,300426,7.12,7.36,7.36,7.03,90033,64926544.0,4.62,3.08,0.22,2.25
2024-09-25,300426,7.42,7.79,8.33,7.42,209898,165372406.0,12.36,5.84,0.43,5.25
2024-09-26,300426,7.62,7.94,7.96,7.6,139762,108937621.0,4.62,1.93,0.15,3.49
2024-09-27,300426,8.18,9.43,9.49,8.08,310586,278892602.0,17.76,18.77,1.49,7.76
2024-09-30,300426,9.65,10.59,10.79,9.49,345991,349292988.0,13.79,12.3,1.16,8.65
2024-10-08,300426,11.85,11.95,12.4,10.52,358697,412056401.0,17.75,12.84,1.36,8.97
2024-10-09,300426,11.0,9.58,11.0,9.56,242259,248499063.0,12.05,-19.83,-2.37,6.06
2024-10-10,300426,9.9,9.62,10.07,9.31,121978,118219562.0,7.93,0.42,0.04,3.05
2024-10-11,300426,9.51,8.9,9.54,8.72,115457,104454953.0,8.52,-7.48,-0.72,2.89
2024-10-14,300426,8.91,9.18,9.26,8.79,94651,85486123.0,5.28,3.15,0.28,2.37
2024-10-15,300426,9.18,10.07,10.88,8.99,314287,320433772.0,20.59,9.69,0.89,7.86
2024-10-16,300426,9.71,10.15,10.22,9.59,174160,173050743.0,6.26,0.79,0.08,4.35
2024-10-17,300426,10.1,10.1,10.43,10.0,141387,144353949.0,4.24,-0.49,-0.05,3.53
2024-10-18,300426,10.0,10.44,10.77,9.81,165081,169775968.0,9.5,3.37,0.34,4.13
2024-10-21,300426,10.46,10.61,10.91,10.29,137226,145361644.0,5.94,1.63,0.17,3.43
2024-10-22,300426,10.6,10.94,11.82,10.59,271667,302172967.0,11.59,3.11,0.33,6.79
2024-10-23,300426,10.63,10.38,10.74,10.23,173689,181877135.0,4.66,-5.12,-0.56,4.34
2024-10-24,300426,10.3,10.33,10.5,10.12,79250,81544400.0,3.66,-0.48,-0.05,1.98
2024-10-25,300426,10.49,10.78,10.92,10.33,109299,116127930.0,5.71,4.36,0.45,2.73
2024-10-28,300426,10.71,11.28,11.67,10.65,224834,252660265.0,9.46,4.64,0.5,5.62
2024-10-29,300426,11.17,10.27,11.27,10.17,207537,219271522.0,9.75,-8.95,-1.01,5.19
2024-10-30,300426,9.86,9.93,10.2,9.72,158813,157195997.0,4.67,-3.31,-0.34,3.97
2024-10-31,300426,9.94,9.76,10.02,9.73,113373,111920297.0,2.92,-1.71,-0.17,2.83
2024-11-01,300426,9.77,9.07,9.8,8.91,145102,133302872.0,9.12,-7.07,-0.69,3.63
2024-11-04,300426,9.07,9.53,9.55,8.86,130354,119948150.0,7.61,5.07,0.46,3.26
2024-11-05,300426,9.49,9.75,9.91,9.44,104343,100773847.0,4.93,2.31,0.22,2.61
2024-11-06,300426,9.75,9.62,9.91,9.53,111656,108613732.0,3.9,-1.33,-0.13,2.79
2024-11-07,300426,9.54,10.06,10.16,9.41,148130,146839011.0,7.8,4.57,0.44,3.7
2024-11-08,300426,10.06,9.91,10.28,9.82,124171,124268963.0,4.57,-1.49,-0.15,3.1
2024-11-11,300426,9.72,10.24,10.4,9.72,117896,119648642.0,6.86,3.33,0.33,2.95
2024-11-12,300426,10.3,9.99,10.44,9.86,121174,122807012.0,5.66,-2.44,-0.25,3.03
2024-11-13,300426,9.95,10.21,10.33,9.91,115114,116760090.0,4.2,2.2,0.22,2.88
2024-11-14,300426,10.21,9.67,10.44,9.6,109597,109088714.0,8.23,-5.29,-0.54,2.74
2024-11-15,300426,9.8,9.55,10.1,9.5,137220,135157871.0,6.2,-1.24,-0.12,3.43
2024-11-18,300426,9.66,10.15,10.62,9.0,299110,295793623.0,16.96,6.28,0.6,7.48
2024-11-19,300426,10.4,9.95,10.4,9.44,181159,179731606.0,9.46,-1.97,-0.2,4.53
2024-11-20,300426,9.86,10.14,10.28,9.8,147448,148716829.0,4.82,1.91,0.19,3.69
2024-11-21,300426,10.12,10.67,11.05,10.03,293182,311500500.0,10.06,5.23,0.53,7.33
2024-11-22,300426,10.56,10.15,11.08,10.01,246977,262776758.0,10.03,-4.87,-0.52,6.17
2024-11-25,300426,9.95,10.54,10.88,9.56,186665,190438003.0,13.0,3.84,0.39,4.67
2024-11-26,300426,10.41,10.6,10.98,10.2,188339,200822488.0,7.4,0.57,0.06,4.71
2024-11-27,300426,10.53,10.8,10.85,10.24,227589,240347161.0,5.75,1.89,0.2,5.69
2024-11-28,300426,10.76,10.54,11.25,10.41,222702,240364216.0,7.78,-2.41,-0.26,5.57
2024-11-29,300426,10.6,10.52,10.74,10.22,175264,183390328.0,4.93,-0.19,-0.02,4.38
2024-12-02,300426,10.42,11.16,11.2,10.42,296022,322311118.0,7.41,6.08,0.64,7.4
2024-12-03,300426,10.98,11.25,11.41,10.72,252631,277867017.0,6.18,0.81,0.09,6.32
2024-12-04,300426,11.05,10.44,11.05,10.33,173638,184962022.0,6.4,-7.2,-0.81,4.34
2024-12-05,300426,10.37,10.64,10.87,10.37,120799,129078645.0,4.79,1.92,0.2,3.02
2024-12-06,300426,10.69,10.77,10.93,10.35,149107,159348984.0,5.45,1.22,0.13,3.73
2024-12-09,300426,10.81,10.64,10.98,10.46,118707,126852732.0,4.83,-1.21,-0.13,2.97
